Country,Latitude,Longitude
Papua New Guinea,-6.46416646,145.2074475
Paraguay,-23.22823913,-58.40013703
Peru,-9.15280381,-74.38242685
Philippines,11.77536778,122.8839325
Pitcairn Islands,-24.36500535,-128.317042
Poland,52.12759564,19.39012835
Portugal,39.59550671,-8.50104361
Puerto Rico,18.22813055,-66.47307604
Qatar,25.30601188,51.18479632
Republic of Congo,-0.83787463,15.21965762
Reunion,-21.118459,55.532753
Romania,45.85243127,24.97293039
Russia,61.98052209,96.68656112
Rwanda,-1.99033832,29.91988515
Saint Martin,18.08888611,-63.05972851
Samoa,-13.75324346,-172.1648506
San Marino,43.94186747,12.45922334
Sao Tome and Principe,0.44391445,6.72429658
Saudi Arabia,24.12245841,44.53686271
Senegal,14.36624173,-14.4734924
Serbia,44.2215032,20.78958334
Seychelles,-4.66099094,55.47603279
Siachen Glacier,35.39236325,77.18011865
Sierra Leone,8.56329593,-11.79271247
Singapore,1.35876087,103.8172559
Slovakia,48.70547528,19.47905218
Slovenia,46.11554772,14.80444238
Solomon Islands,-8.92178022,159.6328767
Somalia,4.75062876,45.70714487
Somaliland,9.73345496,46.25198395
South Africa,-29.00034095,25.08390093
South Georgia and South Sandwich Islands,-54.46488248,-36.43318388
South Korea,36.38523983,127.8391609
South Sudan,7.30877945,30.24790002
Spain,40.24448698,-3.64755047
Sri Lanka,7.61266509,80.70108238
St. Barthelemy,17.89880451,-62.84067779
St. Helena,-12.40355951,-9.54779416
St. Kitts and Nevis,17.2645995,-62.68755265
St. Lucia,13.89479481,-60.96969923
St. Martin,18.05081728,-63.05713363
St. Pierre and Miquelon,46.91918789,-56.30319779
St. Vincent and Grenadines,13.22472269,-61.20129695
Sudan,15.99035669,29.94046812
Suriname,4.13055413,-55.9123457
Swaziland,-26.55843045,31.4819369
Sweden,62.77966519,16.74558049
Switzerland,46.79785878,8.20867471
Syria,35.02547389,38.50788204
Taiwan,23.7539928,120.9542728
Tajikistan,38.5304539,71.01362631
Tanzania,-6.27565408,34.81309981
Thailand,15.11815794,101.0028813
The Bahamas,24.29036702,-76.62843038
Timor-Leste,-8.755117,125.936947
Togo,8.52531356,0.96232845
Tonga,-20.42843174,-174.8098734
Trinidad and Tobago,10.45733408,-61.26567923
Tunisia,34.11956246,9.55288359
Turkey,39.0616029,35.16895346
Turkmenistan,39.11554137,59.37100021
Turks and Caicos Islands,21.83047572,-71.97387881
U.S. Virgin Islands,17.95500624,-64.80301538
Uganda,1.27469299,32.36907971
Ukraine,48.99656673,31.38326469
United Arab Emirates,23.90528188,54.3001671
United Kingdom,54.12387156,-2.86563164
United States,45.6795472,-112.4616737
Uruguay,-32.79951534,-56.01807053
Uzbekistan,41.75554225,63.14001528
Vanuatu,-16.22640909,167.6864464
Vatican,41.90174985,12.43387177
Venezuela,7.12422421,-66.18184123
Vietnam,16.6460167,106.299147
Wallis and Futuna,-13.88737039,-177.3483483
Western Sahara,24.22956739,-12.21982755
Yemen,15.90928005,47.58676189
Zambia,-13.45824152,27.77475946
Zimbabwe,-19.00420419,29.8514412
