date,sentiment
Tue Sep 17 01:40:04 +0000 2019,positive
,
Tue Sep 17 01:40:05 +0000 2019,negative
,
Tue Sep 17 01:40:06 +0000 2019,negative
,
Tue Sep 17 01:40:06 +0000 2019,positive
,
Tue Sep 17 01:40:03 +0000 2019,positive
,
Tue Sep 17 01:40:08 +0000 2019,positive
,
Tue Sep 17 01:40:09 +0000 2019,neutral
,
Tue Sep 17 01:40:10 +0000 2019,positive
,
Tue Sep 17 01:40:11 +0000 2019,positive
,
Tue Sep 17 01:40:11 +0000 2019,positive
,
Tue Sep 17 01:40:11 +0000 2019,neutral
,
Tue Sep 17 01:40:12 +0000 2019,positive
,
Tue Sep 17 01:40:12 +0000 2019,positive
,
Tue Sep 17 01:40:13 +0000 2019,positive
,
Tue Sep 17 01:40:14 +0000 2019,positive
,
Tue Sep 17 01:40:17 +0000 2019,neutral
,
Tue Sep 17 01:40:17 +0000 2019,neutral
,
Tue Sep 17 01:40:17 +0000 2019,positive
,
Tue Sep 17 01:40:19 +0000 2019,positive
,
Tue Sep 17 01:40:20 +0000 2019,neutral
,
Tue Sep 17 01:40:21 +0000 2019,neutral
,
Tue Sep 17 01:40:25 +0000 2019,positive
,
Tue Sep 17 01:40:27 +0000 2019,positive
,
Tue Sep 17 01:40:28 +0000 2019,neutral
,
Tue Sep 17 01:40:29 +0000 2019,neutral
,
Tue Sep 17 01:40:31 +0000 2019,positive
,
Tue Sep 17 01:40:32 +0000 2019,positive
,
Tue Sep 17 01:40:33 +0000 2019,positive
,
Tue Sep 17 01:40:42 +0000 2019,negative
,
Tue Sep 17 01:40:42 +0000 2019,neutral
,
Tue Sep 17 01:40:43 +0000 2019,negative
,
Tue Sep 17 01:40:44 +0000 2019,positive
,
Tue Sep 17 01:40:45 +0000 2019,neutral
,
Tue Sep 17 01:40:45 +0000 2019,neutral
,
Tue Sep 17 01:40:46 +0000 2019,neutral
,
Tue Sep 17 01:40:50 +0000 2019,neutral
,
Tue Sep 17 01:40:52 +0000 2019,positive
,
Tue Sep 17 01:40:55 +0000 2019,neutral
,
Tue Sep 17 01:40:57 +0000 2019,neutral
,
Tue Sep 17 01:40:59 +0000 2019,positive
,
Tue Sep 17 01:41:00 +0000 2019,neutral
,
Tue Sep 17 01:41:01 +0000 2019,positive
,
Tue Sep 17 01:41:02 +0000 2019,neutral
,
Tue Sep 17 01:41:03 +0000 2019,neutral
,
Tue Sep 17 01:41:09 +0000 2019,neutral
,
Tue Sep 17 01:41:10 +0000 2019,neutral
,
Tue Sep 17 01:41:17 +0000 2019,neutral
,
Tue Sep 17 01:41:18 +0000 2019,positive
,
Tue Sep 17 01:41:20 +0000 2019,neutral
,
Tue Sep 17 01:41:21 +0000 2019,positive
,
Tue Sep 17 01:41:24 +0000 2019,positive
,
Tue Sep 17 01:41:24 +0000 2019,neutral
,
Tue Sep 17 01:41:24 +0000 2019,positive
,
Tue Sep 17 01:41:26 +0000 2019,neutral
,
Tue Sep 17 01:41:30 +0000 2019,neutral
,
Tue Sep 17 01:41:35 +0000 2019,neutral
,
Tue Sep 17 01:41:36 +0000 2019,positive
,
Tue Sep 17 01:41:37 +0000 2019,neutral
,
Tue Sep 17 01:41:39 +0000 2019,negative
,
Tue Sep 17 01:41:40 +0000 2019,positive
,
Tue Sep 17 01:41:40 +0000 2019,neutral
,
Tue Sep 17 01:41:46 +0000 2019,neutral
,
Tue Sep 17 01:41:47 +0000 2019,positive
,
Tue Sep 17 01:41:48 +0000 2019,positive
,
Tue Sep 17 01:41:48 +0000 2019,neutral
,
Tue Sep 17 01:41:48 +0000 2019,negative
,
